gene                 rate

Matrix 1             1.02988986824
Matrix 2             0.592875294142
Matrix 3             1.37231472432
Matrix 4             0.701193271875
Matrix 5             1.0334739515
Matrix 6             1.21712698124
Matrix 7             0.681074239043
Matrix 8             1.05421920763
Matrix 9             0.671034485747
Matrix 10            1.24219074202
Matrix 11            0.929442675956
Matrix 12            0.926037933862
Matrix 13            0.826556074518
Matrix 14            0.995422051573
Matrix 15            1.03422992353
Matrix 16            0.944262882973
Matrix 17            1.11085832996
Matrix 18            1.08531716242
Matrix 19            1.70317850987
Matrix 20            1.42190523946
Matrix 21            0.667845911854
Matrix 22            1.20416804158
Matrix 23            1.37512147903
Matrix 24            1.03546781883
Matrix 25            0.778682897752
Matrix 26            1.22338767331
Matrix 27            0.501848515304
Matrix 28            1.00424093569
Matrix 29            1.04341231477
Matrix 30            0.404930383754
Matrix 31            1.24530962238
Matrix 32            1.09016622657
Matrix 33            1.21992035734
Matrix 34            0.726398687554
Matrix 35            1.22101340221
Matrix 36            1.72144600878
Matrix 37            1.18280794187
Matrix 38            0.503753743323
Matrix 39            0.81156438023
Matrix 40            0.885717317892
Matrix 41            0.98327547178
Matrix 42            1.16491032904
Matrix 43            1.12013867827
Matrix 44            1.07437338491
Matrix 45            0.584152488585
Matrix 46            1.49134811883
Matrix 47            0.693001984968
Matrix 48            2.29611534783
Matrix 49            0.777249010855
Matrix 50            0.792298932904
Matrix 51            0.620521676627
Matrix 52            1.24335635949
Matrix 53            1.00082094697
Matrix 54            0.971691340371
Matrix 55            0.8903398059
Matrix 56            1.44000554
Matrix 57            0.627515926709
Matrix 58            0.904078072744
Matrix 59            1.02599606486
Matrix 60            1.15521518556
Matrix 61            0.570358489122
Matrix 62            0.844686099168
Matrix 63            1.44417223334
Matrix 64            0.669927721403
Matrix 65            0.669936380733
Matrix 66            0.974371895587
Matrix 67            0.814341581511
Matrix 68            0.813232304745
Matrix 69            0.513735516428
Matrix 70            1.05945494735
Matrix 71            1.11959245574
Matrix 72            0.557368026617
Matrix 73            1.18904312895
Matrix 74            0.858004473492
Matrix 75            0.728765737118
Matrix 76            0.855914991281
Matrix 77            1.35629804052
Matrix 78            0.771840543918
Matrix 79            1.17755601472
Matrix 80            1.0119893996
Matrix 81            1.01163934772
Matrix 82            0.656886828831
Matrix 83            1.61133834103
Matrix 84            0.695184166374
Matrix 85            0.877855777399
Matrix 86            0.871071579864
Matrix 87            0.993262095688
Matrix 88            1.27465950417
Matrix 89            0.537061745009
Matrix 90            1.03376457938
Matrix 91            0.969659944769
Matrix 92            0.825024687974
Matrix 93            1.11940958059
Matrix 94            0.448288794529
Matrix 95            0.448295749042
Matrix 96            1.06482734289
Matrix 97            0.5708332485
Matrix 98            1.23702081835
Matrix 99            0.67070822628
Matrix 100           0.703972184495
Matrix 101           1.21951209656
Matrix 102           0.713015515174
Matrix 103           0.856464287245
Matrix 104           1.05702423955
Matrix 105           1.53897224324
Matrix 106           0.836570394916
Matrix 107           1.18308813257
Matrix 108           1.4349735509
Matrix 109           0.773261136251
Matrix 110           1.37047755187
Matrix 111           1.60063690216
Matrix 112           0.818999839443
Matrix 113           0.77814403187
Matrix 114           1.21378466583
Matrix 115           0.458881755766
Matrix 116           1.04894539473
Matrix 117           1.07011234885
Matrix 118           0.930614113631
Matrix 119           1.03229171702
Matrix 120           1.34801471228
Matrix 121           1.27717722771
Matrix 122           0.718522269821
Matrix 123           1.67112056172
Matrix 124           1.49921317975
Matrix 125           0.937061962433
Matrix 126           0.848231697566
Matrix 127           0.848231144451
Matrix 128           1.00656666609
Matrix 129           1.82295258961
Matrix 130           1.04130199165
Matrix 131           0.82206017138
Matrix 132           1.01676670458
